@relation data

@attribute id string
@attribute 3141 numeric
@attribute 686 numeric
@attribute Class {Control,BRCACancer}

@data
K1162,0.1939,0.3914,BRCACancer
L1176,0.1491,0.2734,BRCACancer
M1263,0.1416,0.3194,BRCACancer
P1075,0.03,0.2126,BRCACancer
Q1080,0.0408,0.0821,BRCACancer
R1104,0.1867,0.3154,BRCACancer
S1133,0.0411,0.0942,BRCACancer
T1463,0.3068,0.4783,BRCACancer
U2017,0.0531,0.2567,BRCACancer
V432,0.0419,0.1384,BRCACancer
W433,0.1855,0.3444,BRCACancer
X524,0.1069,0.1554,BRCACancer
Y546,0.0221,0.0531,BRCACancer
Z3225,0.2639,0.46,Control
