@relation data

@attribute 3265 numeric
@attribute 6774 numeric
@attribute 5894 numeric
@attribute 6464 numeric
@attribute 2002 numeric
@attribute 1956 numeric
@attribute 5801 numeric
@attribute 3480 numeric
@attribute 8569 numeric
@attribute 2872 numeric
@attribute 2792 numeric
@attribute 5515 numeric
@attribute 4803 numeric
@attribute 4804 numeric
@attribute 6714 numeric
@attribute 5605 numeric
@attribute 5156 numeric
@attribute 9252 numeric
@attribute 5604 numeric
@attribute 2778 numeric
@attribute 3688 numeric
@attribute 2782 numeric
@attribute 2885 numeric
@attribute 5595 numeric
@attribute 6654 numeric
@attribute 4609 numeric
@attribute 6195 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCA}

@data
8.198599078,11.0871946533,10.23292486,8.62624266567,9.68790976,6.71360662325,5.7669994775,6.94204856,7.5839049945,11.097645965,5.704879743,11.25085226,7.593430574,6.482005732,6.89592443067,11.94944384,10.661861475,6.9194271435,9.736317839,8.86041017833,8.5429645305,13.00161496,9.153599552,11.573459625,6.507481989,10.829470512,7.288835508,8.06297051567,BRCA
7.4409667175,11.5050606867,10.11618835,8.601359139,9.524248408,6.904091352,6.4312014655,7.723969969,7.617020006,10.5190084835,5.291135005,11.817863435,7.536560251,6.69104948,6.98144085767,11.38105635,10.824399575,7.9433269225,9.990983614,9.172881566,9.18007328783,13.04989878,9.5256586835,11.32136754,8.512524314,11.023407075,7.194930658,8.197304519,Control
7.6537280945,11.3647894967,10.13087976,8.523978557,9.844219734,6.94855824675,6.315677937,7.678848562,7.919252636,10.7640195565,5.465820435,11.68167441,7.908033966,6.333741815,6.75905554167,11.33166731,10.677614845,7.443962143,10.29596436,8.796592193,9.52376826383,13.26893746,9.597360232,11.488573795,8.640083234,11.5313713,6.833435745,8.151507585,Control
8.1909422715,11.2640425267,10.76657469,9.16094315833,10.24378721,6.51319229175,5.6634659225,7.84580541,8.2782480705,11.018610315,5.973617732,11.736023615,6.930918032,7.432565127,6.82951290367,11.29445435,9.297859121,7.4277413705,10.01433476,8.711268495,9.15082053767,13.29995283,9.06038523,11.695521545,7.7584583,9.689899517,7.428771926,8.08129530567,BRCA
7.2806843915,11.33747121,10.37973064,8.789516499,9.913970625,6.77269984975,5.768873006,7.737992796,8.082186565,10.6046041865,6.049636893,11.7690989,7.437400717,6.958700964,6.91208436433,11.28106518,10.2596695795,7.5290493795,9.712540381,9.207844615,9.44121959,13.17700839,9.5800955565,11.206231375,7.8511886,10.043318064,7.665607022,7.95451796533,BRCA
8.539009948,11.2932842667,10.55366796,8.419142242,10.00415062,6.93725355825,5.7761843905,7.440414751,8.027067605,10.629985417,5.732683853,11.54137497,7.62073508,7.683522992,7.22720437133,11.36168902,9.9400371915,7.334669802,9.812386363,8.61201467833,8.933464829,13.33363132,9.0393998015,11.49634678,7.192690117,9.7187563365,7.3860315285,8.00665617633,BRCA
8.146852134,11.21401799,10.73881029,8.58330978467,10.22872886,6.51560473275,5.855523154,8.081511566,7.98897492,10.73720125,5.542111953,11.71439964,7.081033649,7.254180944,7.35444662233,11.42163372,8.6710485955,7.6448167215,9.916141133,8.82288182267,9.05192720867,13.36856584,8.9731778835,11.796022585,7.688986551,9.654362623,7.6297769445,7.86577453733,BRCA
8.041917075,11.2249138333,10.51457134,8.49027171233,10.30881145,6.4814821935,5.906616132,7.606499831,7.5779578615,10.7828298825,5.655216748,11.698874855,7.252857286,7.355397625,7.03736704367,11.31587145,9.7923303465,7.6536816935,10.0322459,9.12620744833,9.04214245483,13.36355512,8.9213733295,11.46459896,7.192172276,10.1255478285,7.5643569095,8.01917131267,BRCA
7.888636145,11.46263687,10.54450111,8.95843216133,10.45750942,6.70888373325,6.264210995,8.357443276,7.897005192,10.975866825,6.118635505,11.60967717,8.260967887,7.534460714,7.07743364033,11.57272404,9.3331986965,7.7716617215,9.833428205,9.14021016267,9.0875921835,13.29267684,9.111304808,11.5411915,7.574595656,9.668764921,7.519177108,7.890844983,BRCA
8.85628218,11.7207938433,5.97155002,8.67313689733,10.01669727,7.023639895,6.363736337,7.732169334,8.2374680655,10.907543785,5.537615426,9.2723260095,8.100019848,8.170802781,6.94510312533,11.3119244,9.8106380045,7.9021186325,9.724718956,8.17602958933,8.1006439875,13.38150649,10.2970447,12.52079595,8.480033951,8.9745205145,7.7140739065,8.742530249,BRCA
