@relation data

@attribute 9365 numeric
@attribute 26281 numeric
@attribute 10818 numeric
@attribute 5781 numeric
@attribute 6464 numeric
@attribute 2254 numeric
@attribute 2253 numeric
@attribute 54106 numeric
@attribute 2252 numeric
@attribute 2251 numeric
@attribute 2250 numeric
@attribute 8074 numeric
@attribute 8817 numeric
@attribute 2248 numeric
@attribute 2249 numeric
@attribute 2246 numeric
@attribute 2247 numeric
@attribute 5289 numeric
@attribute 3630 numeric
@attribute 6714 numeric
@attribute 27006 numeric
@attribute 30849 numeric
@attribute 2263 numeric
@attribute 8660 numeric
@attribute 2264 numeric
@attribute 1796 numeric
@attribute 2261 numeric
@attribute 2260 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 8822 numeric
@attribute 8823 numeric
@attribute 2549 numeric
@attribute 2255 numeric
@attribute 5335 numeric
@attribute 2885 numeric
@attribute 3667 numeric
@attribute 3643 numeric
@attribute 10817 numeric
@attribute 5295 numeric
@attribute 9965 numeric
@attribute 5296 numeric
@attribute 6654 numeric
@attribute Class {Control,BRCA}

@data
7.511142096,5.19585778,5.474832278,11.67803681,8.62624266567,6.447005198,5.3773706135,5.387510099,5.584068992,5.413835314,5.8926750885,5.934896574,6.0082541625,5.720286161,4.385487242,6.39940453067,6.5242523515,6.664771254,6.062214149,6.89592443067,5.115003321,7.996333838,5.424427713,10.77336613,6.165517671,5.58030474,6.9774516075,6.09726277333,6.657000843,6.80536058,5.357737827,5.038053386,5.95116306267,6.392622782,8.709822916,9.153599552,9.072521955,5.63256723,8.369238672,6.9076540764,5.8736971,11.73774813,6.507481989,BRCA
7.759657075,5.5589670685,5.75504391333,11.69692854,8.601359139,6.257770271,5.1856009735,5.179920282,6.169730249,5.2589309485,6.1839144855,6.0327858025,5.8035037995,5.510179653,5.504788206,6.32918976167,7.9133017495,6.566895523,5.773212576,6.98144085767,5.178128252,8.311295486,6.008659014,11.64562254,6.431198222,5.478819157,6.425841551,6.47069063367,6.822223857,7.215390118,5.403618168,5.289476005,6.216767413,6.659785892,7.877739246,9.5256586835,10.04292168,6.256732941,8.798715706,7.509195938,5.904129552,12.16093036,8.512524314,Control
7.30193311,5.7547737065,5.512284756,11.86292605,8.523978557,6.964055261,5.242590905,5.848755155,5.051601854,5.484883956,6.068029122,6.2788440215,6.6233556705,5.6098519,5.372613708,6.79609300967,8.026294384,5.770572224,5.252865266,6.75905554167,5.854002662,8.534342889,6.001358226,12.0344036,5.300062484,5.899786645,6.7192806095,6.565694096,6.672535396,7.548207573,5.49154148,5.729152513,5.92866327233,6.482449506,7.919144247,9.597360232,10.43052602,5.840785003,9.158989008,7.3656981534,5.81916441,11.89182747,8.640083234,Control
6.267541064,6.109382663,5.61854815867,11.0249286,9.16094315833,6.294579971,4.952026204,5.325000691,4.777434661,5.367828058,5.9102169665,6.0536569645,6.388534753,4.961404834,5.349976695,6.79127793067,6.670495648,5.88130442,5.69544494,6.82951290367,5.459768685,8.279077887,6.000795094,11.29880451,7.24210051,6.589205911,8.004966724,5.96088606667,4.904979261,8.158055634,5.734581769,4.834169221,5.81419016733,5.062436111,7.988942668,9.06038523,10.35004996,6.554362933,9.41509797,7.1534205814,5.963711807,12.03287579,7.7584583,BRCA
7.0735555,5.437590624,5.79048117533,11.92126273,8.789516499,6.573537845,5.1488476285,5.666480557,5.407702206,5.6634452815,6.01943617,5.9445658515,6.294282489,5.614423668,6.058971908,6.739675202,6.9644144425,5.977286364,5.133205159,6.91208436433,4.897254041,8.516213288,5.43588795,11.1371034,6.25297956167,5.931453333,7.0328955525,6.59467230567,5.472171943,8.167858571,5.452456444,5.590221183,5.68293841733,6.649188353,7.9147536295,9.5800955565,9.905109092,6.444605472,8.73279587,7.0222287176,6.381115162,12.93579034,7.8511886,BRCA
6.60674248,6.112872035,5.33919502267,10.85319669,8.419142242,6.602925689,4.9457959335,5.573807162,5.029465308,5.4905531165,6.0638764875,5.850113508,6.061571434,5.371568663,5.425099433,6.75797537167,6.9197252835,5.328864506,5.247843274,7.22720437133,5.599028548,7.912322211,5.391983545,10.99802289,6.62224578467,5.832137623,6.9851775375,6.169953993,4.944168843,7.631688412,6.208191064,5.364932404,5.788274463,5.262105418,7.7272309565,9.0393998015,10.1431986,6.123713395,9.58549361,6.9209080238,6.597386379,12.39411974,7.192690117,BRCA
6.311935024,5.820587661,5.61174235633,10.89823124,8.58330978467,5.805041697,5.4443094065,5.561487483,5.135874705,5.514922218,5.6286048585,5.7623350525,6.1993713595,5.208879341,5.899786645,6.786484124,6.5080835405,5.217920145,5.034316149,7.35444662233,5.125786688,8.254711101,5.069542407,11.5269639,7.10130545967,5.59381033,8.301947236,6.115956461,5.538546893,8.19969826,5.607930386,5.646026713,5.65355368433,5.205168882,7.5975884795,8.9731778835,10.02243063,6.253852802,9.31002259,6.8965544166,6.072647808,12.3239471,7.688986551,BRCA
6.469646395,5.8863020145,5.830169643,11.4871292,8.49027171233,7.12458953,4.8420893005,5.931926036,5.225555714,5.4821160925,6.112144062,6.0364885845,6.1053459975,5.186670157,5.0188247,6.73532343867,6.9129000885,4.790135144,5.636777762,7.03736704367,5.08524538,8.333715684,5.463697036,11.09109172,6.096011044,6.317327248,6.786176066,5.87493411433,5.070616072,7.6455704,5.606672627,5.735529792,5.456942846,4.942762263,7.531468856,8.9213733295,10.25917864,6.269038407,9.008765532,6.895239566,6.057023059,12.48900128,7.192172276,BRCA
6.065072081,5.8676683905,5.78611083467,10.89528011,8.95843216133,6.405103693,5.0624676735,5.829095581,5.349269063,5.6425217125,6.0496264185,5.854052208,5.899116602,5.341284192,5.742552812,7.03882420367,6.276930997,5.262669223,5.780317481,7.07743364033,5.209854193,8.322684325,5.699614961,11.26511118,5.912786189,6.251819079,8.2686537275,6.07785737067,5.353156751,8.275287778,5.775453081,5.561181958,5.79947823233,5.36650691,7.8558007155,9.111304808,10.57522277,6.351695128,8.916656615,7.0040046146,6.12278206,12.05711016,7.574595656,BRCA
6.757493769,5.333654738,5.28673583567,7.418614,8.67313689733,6.130936659,5.018022739,4.891432858,5.636777762,5.5947152265,5.6520003705,6.4885502405,6.294928547,5.244707519,5.706262025,6.636198254,7.221442717,5.255700175,5.123512303,6.94510312533,4.601155548,9.482092544,5.088959125,11.38620755,5.964778488,5.744168665,6.928200624,5.950336121,5.027033758,7.498233163,5.356153716,4.928502089,5.17455334633,4.928502089,7.6793168875,10.2970447,7.724140554,7.093499766,9.536461479,7.4112322548,6.081303006,12.34859823,8.480033951,BRCA
