	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
utahontario2_BIOCARTA_ACE2_PATHWAY_weka_svm_weights_r_svm_rbf	0.5727272727272729	0.5675675675675675	0.4054054054054054	-0.027027027027027084	NA	0.43243243243243246	-0.053380782918149496	0.46180655981772545	1.0	0.0	1.0	36.0	21.0	15.0	15.0	0.0	15.0	22.0	21.0	1.0	0.02702702702702703	0.0	1.0	0.972972972972973	0.5833333333333334	0.4166666666666667	0.40540540540540543	0.0	1.0	0.5945945945945946	0.9545454545454546	0.045454545454545456	95.6078717097529	0.49904049967213043	101.63875785384583	21	16	-0.045454545454545414
utahontario2_BIOCARTA_ACE2_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5239819004524888	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.4306124902905446	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	99.61340758512692	0.4639543381571034	99.91862022617967	85	39	0.0
utahontario2_BIOCARTA_ACH_PATHWAY_weka_svm_weights_r_svm_rbf	0.5787878787878787	0.6216216216216216	0.4054054054054054	0.027027027027026973	NA	0.3783783783783784	0.07829181494661919	0.45431846380268465	1.0	1.0	0.0	36.0	22.0	14.0	15.0	1.0	14.0	22.0	22.0	0.0	0.02702702702702703	1.0	0.0	0.972972972972973	0.6111111111111112	0.3888888888888889	0.40540540540540543	0.06666666666666667	0.9333333333333333	0.5945945945945946	1.0	0.0	94.05761022485996	0.48938471322943833	99.67217970882152	23	14	0.06666666666666665
utahontario2_BIOCARTA_ACH_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6452488687782806	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	0.11712353150587383	0.40898399401990054	17.0	8.0	9.0	107.0	76.0	31.0	39.0	8.0	31.0	85.0	76.0	9.0	0.13709677419354838	0.47058823529411764	0.5294117647058824	0.8629032258064516	0.7102803738317757	0.2897196261682243	0.31451612903225806	0.20512820512820512	0.7948717948717948	0.6854838709677419	0.8941176470588236	0.10588235294117647	94.61009657339251	0.45416772017785323	97.81094435218822	84	40	0.09924585218702875
utahontario2_BIOCARTA_ACTINY_PATHWAY_weka_svm_weights_r_svm_rbf	0.43636363636363634	0.5135135135135135	0.4054054054054054	-0.08108108108108114	NA	0.4864864864864865	-0.05397301349325331	0.5268237301765352	15.0	6.0	9.0	22.0	13.0	9.0	15.0	6.0	9.0	22.0	13.0	9.0	0.40540540540540543	0.4	0.6	0.5945945945945946	0.5909090909090909	0.4090909090909091	0.40540540540540543	0.4	0.6	0.5945945945945946	0.5909090909090909	0.4090909090909091	109.06838488446773	0.5880655341304807	119.7703402127673	19	18	-0.009090909090909038
utahontario2_BIOCARTA_ACTINY_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.7366515837104073	0.7258064516129032	0.3145161290322581	0.040322580645161366	NA	0.27419354838709675	0.27754237288135586	0.3674364680297381	17.0	11.0	6.0	107.0	79.0	28.0	39.0	11.0	28.0	85.0	79.0	6.0	0.13709677419354838	0.6470588235294118	0.35294117647058826	0.8629032258064516	0.7383177570093458	0.2616822429906542	0.31451612903225806	0.28205128205128205	0.717948717948718	0.6854838709677419	0.9294117647058824	0.07058823529411765	84.9989247334414	0.4285268291635539	92.28884391942732	90	34	0.21146304675716454
utahontario2_BIOCARTA_AGPCR_PATHWAY_weka_svm_weights_r_svm_rbf	0.6121212121212121	0.6216216216216216	0.4054054054054054	0.027027027027026973	NA	0.3783783783783784	0.10069444444444436	0.44070077431972987	3.0	2.0	1.0	34.0	21.0	13.0	15.0	2.0	13.0	22.0	21.0	1.0	0.08108108108108109	0.6666666666666666	0.3333333333333333	0.918918918918919	0.6176470588235294	0.38235294117647056	0.40540540540540543	0.13333333333333333	0.8666666666666667	0.5945945945945946	0.9545454545454546	0.045454545454545456	91.23833821282211	0.48878899181872754	99.55085010881638	23	14	0.08787878787878789
utahontario2_BIOCARTA_AGPCR_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6434389140271494	0.6693548387096774	0.3145161290322581	-0.016129032258064502	NA	0.3306451612903226	0.0028146361077602627	0.41796530199560833	2.0	0.0	2.0	122.0	83.0	39.0	39.0	0.0	39.0	85.0	83.0	2.0	0.016129032258064516	0.0	1.0	0.9838709677419355	0.680327868852459	0.319672131147541	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9764705882352941	0.023529411764705882	96.68773879744431	0.458780271903162	98.80431754909682	83	41	-0.02352941176470591
utahontario2_BIOCARTA_AGR_PATHWAY_weka_svm_weights_r_svm_rbf	0.6757575757575758	0.6486486486486487	0.4054054054054054	0.05405405405405406	NA	0.3513513513513513	0.1749571183533449	0.4364519909678166	4.0	3.0	1.0	33.0	21.0	12.0	15.0	3.0	12.0	22.0	21.0	1.0	0.10810810810810811	0.75	0.25	0.8918918918918919	0.6363636363636364	0.36363636363636365	0.40540540540540543	0.2	0.8	0.5945945945945946	0.9545454545454546	0.045454545454545456	90.3587120468521	0.47190440708610915	96.11199450445393	24	13	0.15454545454545454
utahontario2_BIOCARTA_AGR_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6250377073906487	0.6532258064516129	0.3145161290322581	-0.032258064516129004	NA	0.3467741935483871	0.11638954869358668	0.3932652301786958	22.0	9.0	13.0	102.0	72.0	30.0	39.0	9.0	30.0	85.0	72.0	13.0	0.1774193548387097	0.4090909090909091	0.5909090909090909	0.8225806451612904	0.7058823529411765	0.29411764705882354	0.31451612903225806	0.23076923076923078	0.7692307692307693	0.6854838709677419	0.8470588235294118	0.15294117647058825	90.97388149706762	0.4597235148871414	99.00745723278123	81	43	0.07782805429864248
utahontario2_BIOCARTA_AHSP_PATHWAY_weka_svm_weights_r_svm_rbf	0.5212121212121212	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.4651269940686216	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	96.29530164146641	0.4984974654576354	101.5281589684454	22	15	0.0
utahontario2_BIOCARTA_AHSP_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.43499245852187035	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.43806872857150825	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	101.33825607345645	0.46953249107488915	101.11994823869425	85	39	0.0
utahontario2_BIOCARTA_AKAP13_PATHWAY_weka_svm_weights_r_svm_rbf	0.4727272727272728	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.47175899648197295	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	97.66832595745865	0.4991081269670595	101.65253139378522	22	15	0.0
utahontario2_BIOCARTA_AKAP13_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5369532428355959	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	-0.01597705858254827	0.4280748097938842	1.0	0.0	1.0	123.0	84.0	39.0	39.0	0.0	39.0	85.0	84.0	1.0	0.008064516129032258	0.0	1.0	0.9919354838709677	0.6829268292682927	0.3170731707317073	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9882352941176471	0.011764705882352941	99.02636701539309	0.46446507050020003	100.02861310011163	84	40	-0.0117647058823529
utahontario2_BIOCARTA_AKAP95_PATHWAY_weka_svm_weights_r_svm_rbf	0.5636363636363636	0.6216216216216216	0.4054054054054054	0.027027027027026973	NA	0.3783783783783784	0.024604569420035357	0.460320622477859	1.0	1.0	0.0	36.0	22.0	14.0	15.0	1.0	14.0	22.0	22.0	0.0	0.02702702702702703	1.0	0.0	0.972972972972973	0.6111111111111112	0.3888888888888889	0.40540540540540543	0.06666666666666667	0.9333333333333333	0.5945945945945946	1.0	0.0	95.30023791040895	0.49283939920142283	100.37578991921185	23	14	0.06666666666666665
utahontario2_BIOCARTA_AKAP95_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6090497737556562	0.6693548387096774	0.3145161290322581	-0.016129032258064502	NA	0.3306451612903226	-0.012749003984063966	0.4239819164176854	4.0	1.0	3.0	120.0	82.0	38.0	39.0	1.0	38.0	85.0	82.0	3.0	0.03225806451612903	0.25	0.75	0.967741935483871	0.6833333333333333	0.31666666666666665	0.31451612903225806	0.02564102564102564	0.9743589743589743	0.6854838709677419	0.9647058823529412	0.03529411764705882	98.07955969958425	0.46174861227198605	99.44358837732676	83	41	-0.009653092006033148
utahontario2_BIOCARTA_AKAPCENTROSOME_PATHWAY_weka_svm_weights_r_svm_rbf	0.5121212121212121	0.5135135135135135	0.4054054054054054	-0.08108108108108114	NA	0.4864864864864865	-0.03095975232198152	0.4712765082148624	13.0	5.0	8.0	24.0	14.0	10.0	15.0	5.0	10.0	22.0	14.0	8.0	0.35135135135135137	0.38461538461538464	0.6153846153846154	0.6486486486486487	0.5833333333333334	0.4166666666666667	0.40540540540540543	0.3333333333333333	0.6666666666666666	0.5945945945945946	0.6363636363636364	0.36363636363636365	97.56843634921755	0.5253010943505405	106.98720998422506	19	18	-0.030303030303030276
utahontario2_BIOCARTA_AKAPCENTROSOME_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6615384615384615	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	0.08646762310973272	0.4142033382116277	5.0	2.0	3.0	119.0	82.0	37.0	39.0	2.0	37.0	85.0	82.0	3.0	0.04032258064516129	0.4	0.6	0.9596774193548387	0.6890756302521008	0.31092436974789917	0.31451612903225806	0.05128205128205128	0.9487179487179487	0.6854838709677419	0.9647058823529412	0.03529411764705882	95.81748528603013	0.4540479014977375	97.78513983607563	84	40	0.0159879336349924
utahontario2_BIOCARTA_AKT_PATHWAY_weka_svm_weights_r_svm_rbf	0.5909090909090909	0.5405405405405406	0.4054054054054054	-0.05405405405405406	NA	0.45945945945945943	-0.07890222984562592	0.44538498633224044	4.0	1.0	3.0	33.0	19.0	14.0	15.0	1.0	14.0	22.0	19.0	3.0	0.10810810810810811	0.25	0.75	0.8918918918918919	0.5757575757575758	0.42424242424242425	0.40540540540540543	0.06666666666666667	0.9333333333333333	0.5945945945945946	0.8636363636363636	0.13636363636363635	92.2081112306202	0.5104301396728188	103.95846710155821	20	17	-0.0696969696969697
utahontario2_BIOCARTA_AKT_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.685369532428356	0.7338709677419355	0.3145161290322581	0.048387096774193616	NA	0.2661290322580645	0.2819399203764024	0.3871015711778386	14.0	10.0	4.0	110.0	81.0	29.0	39.0	10.0	29.0	85.0	81.0	4.0	0.11290322580645161	0.7142857142857143	0.2857142857142857	0.8870967741935484	0.7363636363636363	0.2636363636363636	0.31451612903225806	0.2564102564102564	0.7435897435897436	0.6854838709677419	0.9529411764705882	0.047058823529411764	89.54804483391403	0.4411225235639496	95.00149105249926	91	33	0.20935143288084457
utahontario2_BIOCARTA_ALK_PATHWAY_weka_svm_weights_r_svm_rbf	0.696969696969697	0.6216216216216216	0.4054054054054054	0.027027027027026973	NA	0.3783783783783784	0.10069444444444436	0.4310798902646614	3.0	2.0	1.0	34.0	21.0	13.0	15.0	2.0	13.0	22.0	21.0	1.0	0.08108108108108109	0.6666666666666666	0.3333333333333333	0.918918918918919	0.6176470588235294	0.38235294117647056	0.40540540540540543	0.13333333333333333	0.8666666666666667	0.5945945945945946	0.9545454545454546	0.045454545454545456	89.24652534460635	0.47554402526493833	96.85326955327564	23	14	0.08787878787878789
utahontario2_BIOCARTA_ALK_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.615686274509804	0.7016129032258065	0.3145161290322581	0.016129032258064613	NA	0.2983870967741935	0.13286713286713292	0.41363633843672964	12.0	7.0	5.0	112.0	80.0	32.0	39.0	7.0	32.0	85.0	80.0	5.0	0.0967741935483871	0.5833333333333334	0.4166666666666667	0.9032258064516129	0.7142857142857143	0.2857142857142857	0.31451612903225806	0.1794871794871795	0.8205128205128205	0.6854838709677419	0.9411764705882353	0.058823529411764705	95.68632146484258	0.4584517252437608	98.73356073923988	87	37	0.1206636500754148
utahontario2_BIOCARTA_AMI_PATHWAY_weka_svm_weights_r_svm_rbf	0.4818181818181818	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.46483469030594377	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	96.23478595573555	0.5000021459183006	101.8346147632946	22	15	0.0
utahontario2_BIOCARTA_AMI_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.48295625942684767	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.43142142179606935	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	99.80053737254651	0.4663032209172845	100.42448277593535	85	39	0.0
utahontario2_BIOCARTA_ARAP_PATHWAY_weka_svm_weights_r_svm_rbf	0.5878787878787879	0.5675675675675675	0.4054054054054054	-0.027027027027027084	NA	0.43243243243243246	-0.053380782918149496	0.46143107413211176	1.0	0.0	1.0	36.0	21.0	15.0	15.0	0.0	15.0	22.0	21.0	1.0	0.02702702702702703	0.0	1.0	0.972972972972973	0.5833333333333334	0.4166666666666667	0.40540540540540543	0.0	1.0	0.5945945945945946	0.9545454545454546	0.045454545454545456	95.53013485977577	0.5039871682510436	102.64623770809756	21	16	-0.045454545454545414
utahontario2_BIOCARTA_ARAP_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6461538461538462	0.7258064516129032	0.3145161290322581	0.040322580645161366	NA	0.27419354838709675	0.18997175141242936	0.39713726656238507	15.0	10.0	5.0	109.0	80.0	29.0	39.0	10.0	29.0	85.0	80.0	5.0	0.12096774193548387	0.6666666666666666	0.3333333333333333	0.8790322580645161	0.7339449541284404	0.26605504587155965	0.31451612903225806	0.2564102564102564	0.7435897435897436	0.6854838709677419	0.9411764705882353	0.058823529411764705	91.86959805701373	0.4471666810609907	96.3031792314113	90	34	0.19758672699849167
utahontario2_BIOCARTA_ARENRF2_PATHWAY_weka_svm_weights_r_svm_rbf	0.7333333333333333	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.4407197827091122	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	91.24227352213039	0.47375295221350927	96.48848465046244	22	15	0.0
utahontario2_BIOCARTA_ARENRF2_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5812971342383109	0.7096774193548387	0.3145161290322581	0.024193548387096864	NA	0.29032258064516125	0.15101721439749613	0.4123753122922463	5.0	4.0	1.0	119.0	84.0	35.0	39.0	4.0	35.0	85.0	84.0	1.0	0.04032258064516129	0.8	0.2	0.9596774193548387	0.7058823529411765	0.29411764705882354	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9882352941176471	0.011764705882352941	95.39460881335593	0.4555264151123067	98.1035570340701	88	36	0.09079939668174974
utahontario2_BIOCARTA_ARF_PATHWAY_weka_svm_weights_r_svm_rbf	0.5303030303030303	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.464872821044035	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	96.24268016736619	0.49699343011095537	101.22183456290063	22	15	0.0
utahontario2_BIOCARTA_ARF_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.49230769230769234	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	-0.03165584415584442	0.43454434698455524	1.0	0.0	1.0	123.0	84.0	39.0	39.0	0.0	39.0	85.0	84.0	1.0	0.008064516129032258	0.0	1.0	0.9919354838709677	0.6829268292682927	0.3170731707317073	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9882352941176471	0.011764705882352941	100.52296235248289	0.4690105971906986	101.00755158125608	84	40	-0.0117647058823529
utahontario2_BIOCARTA_ASBCELL_PATHWAY_weka_svm_weights_r_svm_rbf	0.5848484848484848	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.0	0.4460047024274012	0.0	0.0	0.0	37.0	22.0	15.0	15.0	0.0	15.0	22.0	22.0	0.0	0.0	NaN	NaN	1.0	0.5945945945945946	0.40540540540540543	0.40540540540540543	0.0	1.0	0.5945945945945946	1.0	0.0	92.33641113382207	0.5014292714536128	102.1252750740428	22	15	0.0
utahontario2_BIOCARTA_ASBCELL_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6024132730015084	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.07071483474250559	0.4203599745713905	8.0	4.0	4.0	116.0	81.0	35.0	39.0	4.0	35.0	85.0	81.0	4.0	0.06451612903225806	0.5	0.5	0.9354838709677419	0.6982758620689655	0.3017241379310345	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9529411764705882	0.047058823529411764	97.24169740455152	0.4627403955662445	99.65718185016574	85	39	0.055505279034690824
utahontario2_BIOCARTA_AT1R_PATHWAY_weka_svm_weights_r_svm_rbf	0.6272727272727273	0.5945945945945946	0.4054054054054054	0.0	NA	0.4054054054054054	0.09165302782324063	0.4336647006162635	8.0	4.0	4.0	29.0	18.0	11.0	15.0	4.0	11.0	22.0	18.0	4.0	0.21621621621621623	0.5	0.5	0.7837837837837838	0.6206896551724138	0.3793103448275862	0.40540540540540543	0.26666666666666666	0.7333333333333333	0.5945945945945946	0.8181818181818182	0.18181818181818182	89.78165896546172	0.4817926285595822	98.12591230993831	22	15	0.08484848484848495
utahontario2_BIOCARTA_AT1R_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6748114630467572	0.6693548387096774	0.3145161290322581	-0.016129032258064502	NA	0.3306451612903226	0.1024249004705029	0.3851044862182841	14.0	6.0	8.0	110.0	77.0	33.0	39.0	6.0	33.0	85.0	77.0	8.0	0.11290322580645161	0.42857142857142855	0.5714285714285714	0.8870967741935484	0.7	0.3	0.31451612903225806	0.15384615384615385	0.8461538461538461	0.6854838709677419	0.9058823529411765	0.09411764705882353	89.08606000406388	0.4507008258067334	97.06430341461623	83	41	0.05972850678733033
utahontario2_BIOCARTA_ATM_PATHWAY_weka_svm_weights_r_svm_rbf	0.5636363636363636	0.5405405405405406	0.4054054054054054	-0.05405405405405406	NA	0.45945945945945943	-0.10544815465729328	0.45712596989825566	2.0	0.0	2.0	35.0	20.0	15.0	15.0	0.0	15.0	22.0	20.0	2.0	0.05405405405405406	0.0	1.0	0.9459459459459459	0.5714285714285714	0.42857142857142855	0.40540540540540543	0.0	1.0	0.5945945945945946	0.9090909090909091	0.09090909090909091	94.63884857434472	0.4963640875092895	101.09365739022655	20	17	-0.09090909090909094
