@relation thedata

@attribute 10411 real
@attribute 10681 real
@attribute 11069 real
@attribute 111 real
@attribute 112 real
@attribute 114 real
@attribute 26251 real
@attribute 2641 real
@attribute 2740 real
@attribute 2770 real
@attribute 2771 real
@attribute 2775 real
@attribute 2778 real
@attribute 2782 real
@attribute 2783 real
@attribute 2784 real
@attribute 2785 real
@attribute 2786 real
@attribute 2787 real
@attribute 2788 real
@attribute 2790 real
@attribute 2791 real
@attribute 2792 real
@attribute 2793 real
@attribute 3630 real
@attribute 3708 real
@attribute 3709 real
@attribute 3710 real
@attribute 3745 real
@attribute 3747 real
@attribute 3767 real
@attribute 3790 real
@attribute 51764 real
@attribute 54331 real
@attribute 5566 real
@attribute 5567 real
@attribute 5568 real
@attribute 5573 real
@attribute 5575 real
@attribute 5576 real
@attribute 5577 real
@attribute 55970 real
@attribute 5906 real
@attribute 5908 real
@attribute 59345 real
@attribute 6616 real
@attribute 6804 real
@attribute 6812 real
@attribute 6833 real
@attribute 6844 real
@attribute 6861 real
@attribute 773 real
@attribute 775 real
@attribute 776 real
@attribute 777 real
@attribute 783 real
@attribute 784 real
@attribute 8826 real
@attribute 9254 real
@attribute 94235 real
@attribute 9495 real
@attribute DependentVariable {BRCA,Control}

@data
8.381933448,6.97244898767,6.563429392,6.551751032,10.29987056,6.134894093,6.020332412,5.057245821,5.713978422,6.097670028,11.98415862,5.31994319167,8.86041017833,13.00161496,9.350724377,6.530878866,5.346435058,6.298205225,8.442664802,9.226485123,8.286304921,12.94317143,5.704879743,5.994246645,6.062214149,9.330368553,8.417642766,11.5968724,7.321885546,5.06832152667,5.784969309,8.176434678,5.452703528,7.365471921,6.5859397695,5.0578073466,6.287994543,9.08887684467,7.988004536,8.176760488,5.492182674,7.23239964,6.367097734,6.813421843,7.5026355755,7.2233732875,6.922498552,7.228641719,8.023506434,10.98552909,5.644873832,5.3939285795,7.242319362,5.911818141,4.879474508,5.4830637994,9.95258151,10.14670903,6.73726371,5.091711732,4.916251205,BRCA
8.292046787,6.389883566,7.043905282,5.868767777,9.8796694575,6.137304345,5.5821205805,5.706538322,5.084076226,6.6687748565,12.06588572,5.67424901833,9.172881566,13.04989878,8.378404463,6.225261069,5.478819157,6.055397005,9.163298157,9.260367468,9.92562903,12.82636383,5.291135005,6.187456621,5.773212576,10.4353997,9.772677934,11.78113439,7.734880845,5.05948747967,5.998765996,7.504259146,5.285412622,8.135274649,6.027160675,5.3421536938,5.822227442,7.99293009967,7.5453142,8.94526175,5.564539174,10.07238089,6.6803573705,6.676402561,7.2400353085,6.8815510025,6.294671862,7.04003560967,8.278555304,10.45871961,5.445520838,5.3262067895,6.719187291,6.174282191,4.610627382,5.400048107,9.534634151,9.635165386,6.720982581,5.551986008,5.752354719,Control
8.768549192,6.757115983,6.758893179,6.993564335,10.337719898,6.679413681,5.7771692695,5.687208569,5.109999067,7.184102984,12.19850959,5.34585836067,8.796592193,13.26893746,8.616586634,6.362562487,5.550447635,5.650485447,9.04801075,8.825389039,10.33248729,13.11366653,5.465820435,6.122264392,5.252865266,10.86238187,9.630713575,11.47029296,7.8090464,4.843815672,5.07286817,7.4480710625,5.293711886,8.384871286,6.4244788405,5.4913025734,5.416511492,9.194411155,7.626842693,9.004516227,5.301049141,10.16363116,6.6358028665,6.4678002685,7.055096439,6.2958628705,6.691782333,7.45962413033,7.650946042,10.57581366,5.182107523,5.556205022,6.816699294,6.073504957,5.303243061,5.4895095526,9.85743721,9.680166591,6.656801085,5.238988625,5.21588362,Control
9.672072194,6.61616787567,7.051810165,6.859476161,10.5431463085,5.930152602,5.4906045725,5.706676451,5.521530756,5.4787995935,12.44264168,5.51542661367,8.711268495,13.29995283,9.333972157,6.798118982,5.149758548,6.389270486,9.210939846,10.09517319,10.07411507,11.61680165,5.973617732,6.768981971,5.69544494,11.40394419,9.432772131,12.30526243,7.318861647,5.01669599633,6.686224305,7.3294800735,5.119782831,6.997860083,6.619283011,5.4387987878,5.237842121,8.633415693,7.240984771,7.750842834,5.268482349,9.560920839,6.5600925975,5.7981775515,5.9799251475,7.746916147,8.021647846,7.33583168833,8.253104235,11.2546007,5.805041697,6.0113239085,7.919550328,6.152087694,5.63307605,4.9999847526,10.43232295,7.794531415,7.2318600375,5.827953159,5.652064272,BRCA
8.577656473,6.60558999133,7.751813702,6.528184984,10.581626049,5.826428522,5.8131723415,5.23994335,5.649336125,6.159811817,11.06323009,5.42576550867,9.207844615,13.17700839,8.807251164,7.068028862,6.121642945,5.614423668,7.763878152,9.531343017,10.34356359,11.8968755,6.049636893,5.93841004,5.133205159,10.55627639,10.64514978,12.12065594,7.368639866,5.447356446,6.023317043,7.225145761,5.44062939,9.073024297,6.1288615465,5.8117429202,5.913135501,8.41487604833,7.292669322,8.335480939,5.287261033,9.949207023,6.965484196,5.632718325,6.9163256205,8.463316998,7.319810118,7.14027804567,10.06189131,9.127737169,5.407702206,5.243544883,7.855929176,6.347670638,4.959319531,5.6758523128,11.10294695,8.395942279,7.0536974955,5.706262025,5.224784328,BRCA
8.823320364,6.784302337,7.293727115,6.908335947,9.8093092945,5.809164401,5.204213046,5.716175548,5.804654588,5.6032236615,12.03914706,5.90680015067,8.61201467833,13.33363132,9.157436075,6.86950478,5.995773509,6.663917843,8.979483163,10.26174268,9.641921287,11.32190853,5.732683853,6.655642073,5.247843274,11.43117909,10.02677279,11.98934847,7.425386131,4.74475168833,5.872835683,7.680182127,5.110625549,6.821203566,6.5537420015,5.3283454926,5.754627826,8.30846996767,7.370450116,7.540595216,5.765409598,8.788074828,6.4715114345,5.6294457825,6.976093136,6.7390347675,7.808322499,6.91298685167,8.030089287,10.96223109,5.304521308,5.8757305245,7.990970633,6.201051201,4.965104614,5.1905305272,10.87189776,8.03664224,7.267085085,5.641409649,5.310713879,BRCA
8.913937397,6.51405773367,7.642487009,6.506728574,10.2967908845,5.495384375,5.5372830545,5.595899883,5.868520868,5.6081323905,12.10567621,5.72491249667,8.82288182267,13.36856584,9.539954171,7.120059311,5.836183727,6.132685436,9.24482828,9.81791145,9.90199107,11.52829551,5.542111953,6.354827336,5.034316149,11.63501532,10.62223972,11.82192354,6.4876838,5.59461020367,6.597535364,7.6598910245,5.023045997,6.808678261,6.61609541,5.4065428568,5.634165776,8.24833877567,7.801516189,7.582482852,5.66903474,8.870851027,6.023625171,5.676905305,5.6412905805,6.572423344,8.045051277,7.46054400933,9.45547165,11.18913904,4.957695542,5.3924217755,7.396478754,6.166118507,5.080669653,5.3093301262,10.65288555,7.483334379,7.8094315885,5.59381033,5.769514729,BRCA
7.53348767,6.433898499,8.027423808,6.567237875,10.2833042595,5.626885346,5.265237214,5.406342144,5.617365526,5.800661023,11.80901857,5.747383259,9.12620744833,13.36355512,9.306620611,6.63161771,5.527642182,6.202227307,9.252961701,10.64035818,10.08386525,11.49170796,5.655216748,6.385522173,5.636777762,10.51995589,10.68629503,11.43832419,7.131628387,4.82777177733,6.88402128,7.5135706295,5.24660879,8.086854242,6.6313943815,5.5295343186,5.620154746,8.653406271,7.587367101,7.646560735,5.325990094,8.673027334,6.459501324,5.8486648255,6.3980360365,7.077503195,7.506587513,7.161030027,9.594493091,10.57996904,4.880699299,5.8821249775,7.439417699,6.202227307,5.045717348,5.3768774524,10.70804518,7.714213099,7.384987189,6.083006551,5.669459997,BRCA
8.069988244,6.36224381667,7.845617261,6.427820369,10.2474442945,5.584068992,5.5979396435,5.878793533,4.783471516,5.52926424,12.54827894,5.37597226133,9.14021016267,13.29267684,9.583727381,7.036891003,5.981059894,6.371171674,9.485326755,10.08672709,10.49650957,11.7674087,6.118635505,6.586919049,5.780317481,10.92093732,9.595686927,11.71457622,6.831944122,5.95969078467,6.537882799,7.9515729145,4.808142121,7.432878264,6.8628717035,5.4814391052,5.341284192,7.64956818833,8.135646608,7.576259705,5.707781006,9.538005127,6.2166346505,5.862625222,5.8819921345,7.2922706905,8.124252034,7.29899473467,8.467861387,11.18170219,5.438302209,5.538030721,7.662634777,6.027691096,5.416173666,5.4951223922,10.60610469,7.819127079,7.2886743795,5.938762876,5.596049021,BRCA
8.192984556,6.073822667,5.886130184,7.081832585,10.35590611,5.980260273,5.8685536215,5.441376616,5.156448444,5.47662364,12.35457868,5.51468784233,8.17602958933,13.38150649,9.930146364,6.360983667,5.052688948,5.59724157,9.799800123,8.329326713,7.075401932,12.75033439,5.537615426,5.687628504,5.123512303,10.58930965,10.11297736,8.747421913,7.822477025,5.17297067,5.178725843,7.0940657045,5.077041333,6.412997934,6.2169798845,5.1210123436,6.445516183,8.42010759833,7.493457452,7.632470217,5.002940155,9.576399845,5.5290771255,5.6300144245,5.8308617525,6.6321609555,7.53871493,7.618235163,7.276057213,7.975462708,5.345725686,5.447428457,7.26692969,6.684051207,4.842490216,5.562561557,11.08626249,8.067731642,6.83043649,6.034420016,5.279110251,BRCA
