@relation thedata

@attribute 10535 real
@attribute 10714 real
@attribute 1763 real
@attribute 2237 real
@attribute 23649 real
@attribute 246243 real
@attribute 29935 real
@attribute 3978 real
@attribute 4171 real
@attribute 4172 real
@attribute 4173 real
@attribute 4174 real
@attribute 4175 real
@attribute 4176 real
@attribute 5111 real
@attribute 54107 real
@attribute 5422 real
@attribute 5424 real
@attribute 5425 real
@attribute 5426 real
@attribute 5427 real
@attribute 5557 real
@attribute 5558 real
@attribute 56655 real
@attribute 57804 real
@attribute 5981 real
@attribute 5982 real
@attribute 5983 real
@attribute 5984 real
@attribute 5985 real
@attribute 6117 real
@attribute 6118 real
@attribute 6119 real
@attribute 6742 real
@attribute 79621 real
@attribute 84153 real
@attribute DependentVariable {BRCA,Control}

@data
8.920911903,7.463332523,6.710544499,9.107300824,9.645109494,10.84359353,6.798896608,9.309431518,9.157436075,11.30175136,9.126565767,10.07634836,11.00715715,8.000714493,7.19178534067,11.96367651,7.008129683,8.833563055,13.07564465,8.622089465,7.713319706,8.1297927905,5.90699724167,12.44389288,9.427680085,8.906142604,7.1596856165,6.23579617167,8.8655786105,7.2999723835,10.87490854,12.53830178,10.35810202,10.99685144,7.086723071,6.415535277,BRCA
7.857407417,7.1852972805,6.7843201735,9.006318241,9.278554651,11.31492605,6.553902353,8.824657385,8.895530694,11.06146347,9.3320368985,9.327003038,10.66204549,8.527335664,7.66789353567,12.23798527,6.914785761,7.324543144,12.68199828,7.321637554,7.322110956,8.207026822,6.10699417833,12.18094263,8.66980731,8.716427139,6.8101934035,7.04973393733,9.023735752,7.544617301,11.11875956,11.75528414,10.88129775,11.50667219,6.623373531,6.489691944,Control
7.758041825,7.4117681705,6.735522986,9.113554115,9.185483232,11.14549296,6.685173215,8.392855247,8.423925951,10.9823843865,8.9337085745,9.282845833,10.47189392,8.33408606133,7.32601425833,11.85376385,6.9100955155,7.935107761,12.85738045,7.471189747,6.816699294,8.176539011,5.90664606667,12.07288802,8.962058135,8.7854943965,6.654977447,7.14436357833,8.823484927,7.3703045175,11.29475415,11.64562254,10.4887367,11.18404796,5.445769113,6.278361755,Control
8.20808938,7.4282706955,6.9776320865,9.082795036,9.086873394,10.54983306,7.17689899,8.873598775,8.850203347,11.261461695,8.8844057575,9.760229732,10.18746996,8.46409499267,6.97591235933,12.15911615,7.2390370655,8.689964021,12.86342169,8.892179346,7.518655368,8.30919878,5.90581402733,12.00382718,9.223423229,8.3847614075,6.4175965355,7.35023516733,9.175989441,6.8935968215,10.666982815,12.03723816,10.55403266,11.19977372,5.797150007,6.361948707,BRCA
7.998450984,7.1613884155,7.089233033,9.211922876,9.517788029,10.35833283,6.683560055,9.241179451,9.181134316,10.822579484,9.071601972,9.462104032,11.00415042,8.306388692,6.763530312,12.6014308,7.31912801,8.354559186,13.11037161,9.091660914,7.750105877,8.1555588695,5.73925937133,10.90604899,8.538519855,8.774283818,6.5949871565,7.31315444567,8.9319577035,7.485098727,11.21590727,11.80073018,9.580042347,10.1415679,5.287261033,5.954086504,BRCA
8.572265482,7.2083211925,6.9385302655,9.372225132,9.521659876,10.43324145,6.610770643,9.807411729,9.625197931,11.456037835,9.457132773,9.955810122,10.9783031,8.45954481,7.03874911367,12.49153253,7.454481784,8.464169074,13.0474759,8.511556122,7.91898414,8.63293609,5.92688192933,12.216605,9.290952566,8.604510827,6.527756701,7.21700452967,9.4157847835,7.527901723,10.39328649,12.21510531,10.64948099,11.04322917,5.03519637,6.25333282,BRCA
8.276381653,7.2727011495,6.978753636,9.252004483,9.375713432,10.58008449,6.778573689,9.907754874,9.405535663,11.169296335,9.0958669535,9.773436423,10.54074827,8.410838317,7.10016706667,12.60023009,7.3267110305,8.292691032,12.87039849,8.772299004,7.949609524,8.4837444445,5.82199268833,12.29825028,9.547357825,8.409953035,6.3941428145,7.43359077733,9.4100818935,7.357071643,10.861074535,11.98277091,10.9447818,11.21374538,5.300134022,6.299121568,BRCA
8.650577107,7.070863253,6.9899737395,9.437168452,9.551372359,10.46466855,6.415746521,9.489968911,9.897747581,11.174427615,9.5713605475,10.02058454,11.03059147,8.47082142633,7.13735669233,12.49390804,7.345900669,8.43825243,13.36098494,8.567443842,8.122958834,8.705581547,5.94728233467,12.27401999,9.443524356,8.640800583,6.803953256,7.17986935967,9.2504395305,7.2299863925,10.620424425,12.11639279,11.12425722,11.66916423,5.658433761,6.462793134,BRCA
8.34613819,7.409290949,6.789915729,9.352729044,9.101726968,10.33226629,6.839333325,9.770879053,9.297742323,11.13629055,9.345582263,9.657604783,10.53205419,8.71205232367,7.301571066,12.42339047,7.188619934,8.463423345,12.83366697,8.792042831,7.739039878,8.528158071,5.97034949167,12.10466109,9.524924191,8.518554874,6.553387789,7.21428444467,9.283426389,7.224746219,11.17905754,11.90965135,10.84615266,11.35948893,5.503198645,6.409692703,BRCA
9.498550629,7.6441090585,7.5028987285,9.732093048,10.10847909,10.69893493,6.734984332,7.877009719,9.090953388,10.579241791,8.9400510145,9.817791564,10.53323265,7.38486775267,6.78827803233,8.622089465,6.212221867,8.591897347,13.50065522,6.664629054,8.140089864,8.5665834615,5.90527172967,8.791424313,9.717642636,8.0635175495,6.348284926,6.94060400367,7.388460416,6.330087624,10.585395104,9.074115449,9.955032716,7.997322226,4.830371028,6.957163362,BRCA
