@relation thedata

@attribute 1385 real
@attribute 1386 real
@attribute 1432 real
@attribute 1616 real
@attribute 1649 real
@attribute 2002 real
@attribute 2885 real
@attribute 3150 real
@attribute 3265 real
@attribute 3315 real
@attribute 3316 real
@attribute 4149 real
@attribute 4205 real
@attribute 4207 real
@attribute 4208 real
@attribute 4209 real
@attribute 4214 real
@attribute 4217 real
@attribute 4293 real
@attribute 4609 real
@attribute 5321 real
@attribute 5608 real
@attribute 5879 real
@attribute 6416 real
@attribute 6464 real
@attribute 6772 real
@attribute 6885 real
@attribute 7040 real
@attribute 7042 real
@attribute 7043 real
@attribute 7046 real
@attribute 7186 real
@attribute 8550 real
@attribute 8569 real
@attribute 8717 real
@attribute 8737 real
@attribute 9252 real
@attribute 9261 real
@attribute 998 real
@attribute DependentVariable {BRCA,Control}

@data
11.005151922,7.29034405,5.5612686795,10.1781672,10.33946621,9.68790976,9.153599552,11.48443279,8.198599078,13.23568448,10.76808942,6.2691573984,6.186218877,6.248597096,8.155224442,9.972685879,11.22161448,8.979483163,7.358060212,10.829470512,6.313976471,5.64379041867,8.92818876867,7.974032126,8.62624266567,9.93530678933,8.596587527,6.147057976,5.609704182,10.31728008,6.183690582,8.81368591,8.7937986075,7.5839049945,8.26798057567,9.933705821,6.9194271435,7.82250581,6.604948967,BRCA
10.78322175,8.450346395,6.791169903,8.637042439,9.000388183,9.524248408,9.5256586835,12.599956285,7.4409667175,12.45678569,9.621191587,6.7864949062,7.641421617,6.1476177,9.539333865,10.20167708,11.05015324,9.584314798,6.685173215,11.023407075,5.476714818,6.10103173667,8.97755484267,8.704684954,8.601359139,10.334999682,9.0816140535,5.382071697,7.247787805,9.979768545,6.995289824,7.562397229,8.5231431435,7.617020006,7.74767978867,9.477151683,7.9433269225,7.457900782,7.351535111,Control
10.4041484903,8.394260237,6.935865955,8.718842038,8.687621616,9.844219734,9.597360232,12.35256899,7.6537280945,12.74140174,10.44585319,7.0140243452,7.717524135,6.380249461,9.778192608,10.38477057,10.77967445,9.571942743,6.674054967,11.5313713,5.605339686,5.82446156933,8.882604615,8.3498677015,8.523978557,10.3450320487,9.1999885685,5.502084908,7.420152085,9.655880007,6.460910954,7.489328426,8.748337153,7.919252636,7.976421966,9.882639658,7.443962143,7.747843835,7.359104133,Control
10.5074705227,8.687726581,6.23780006725,9.243103231,9.4642502,10.24378721,9.06038523,11.88382504,8.1909422715,12.76703924,9.46858389,6.6285157292,7.653026194,6.847374124,8.108238405,10.21758854,9.313711317,8.411459216,7.022426421,9.689899517,5.276507133,6.17992307233,8.867882958,8.5569316505,9.16094315833,10.6552894147,8.733092931,5.115003321,7.131628387,10.35287964,6.352798794,8.174789799,7.999156742,8.2782480705,8.60516057033,10.43762494,7.4277413705,8.0739560435,6.6884391885,BRCA
9.90083481867,8.685117683,6.155251749,9.088689621,8.739789996,9.913970625,9.5800955565,12.61662732,7.2806843915,11.76666981,8.426475613,6.4296669984,8.24541143,6.368031123,9.473467881,10.55758842,9.683047729,9.186362588,6.674831803,10.043318064,5.421737703,6.406842111,8.552349278,8.5497894345,8.789516499,10.5797653207,9.2660120735,4.924350826,7.112546695,11.69149721,6.43304759,8.260238737,8.648821783,8.082186565,7.70289810533,10.76657469,7.5290493795,7.467041959,6.843482732,BRCA
10.2584479883,8.420129842,6.273689165,9.463954014,9.836003445,10.00415062,9.0393998015,12.64205307,8.539009948,13.00770101,9.448529911,6.6200403206,7.364180901,6.411812312,9.134080446,10.06840584,9.206422917,9.156570504,6.837536875,9.7187563365,4.909306588,6.318598458,8.787767491,8.480919728,8.419142242,9.828262008,8.692934023,5.605710071,6.735729052,10.24482795,6.665126693,8.569372533,8.2832770915,8.027067605,7.81029065433,10.39270411,7.334669802,7.7812287505,7.08107622375,BRCA
10.0323493423,8.480952861,6.46315116575,9.329651235,9.959060514,10.22872886,8.9731778835,12.588195265,8.146852134,12.28213433,9.204950795,6.6788927582,7.200950391,6.976538706,8.150027916,10.26648823,9.06544382,8.088816224,7.235514366,9.654362623,5.034316149,6.132790906,8.934366304,8.4390426745,8.58330978467,9.85565975467,8.4734774435,5.66449084,7.229566594,10.86671119,6.174232248,8.554263753,8.2627517945,7.98897492,8.33003132667,10.31328586,7.6448167215,7.8494133085,6.38540810175,BRCA
9.692770319,8.212765231,6.3805448535,9.24711525,9.708429162,10.30881145,8.9213733295,11.77746896,8.041917075,12.3749363,9.700778298,6.5438948864,6.776041872,6.410159284,8.700336649,10.00702766,9.805889394,8.515996551,6.836117042,10.1255478285,5.172938736,6.31258353867,9.01840760867,8.551370553,8.49027171233,10.041403703,8.580432115,5.37574431,6.535085305,10.95634187,6.817882628,8.466179598,8.310783391,7.5779578615,7.89650067567,10.26978741,7.6536816935,8.0462685015,6.7911300605,BRCA
9.570767933,8.550709395,6.522968526,9.549178746,9.431613101,10.45750942,9.111304808,12.67319175,7.888636145,12.73839215,9.406960242,6.9912099028,7.392920835,7.000397602,7.013297895,9.827843283,9.17185302,7.816185482,7.338137177,9.668764921,5.501288856,6.56668181467,9.258466301,8.655247477,8.95843216133,9.72583582933,8.5357374825,5.19062597,6.862206886,10.24378721,6.449607283,8.512702074,8.4695684015,7.897005192,8.82616985867,9.880004788,7.7716617215,8.1239601125,6.67358924525,BRCA
10.2933462963,9.242996091,6.65967948325,9.867028148,10.28587065,10.01669727,10.2970447,11.3058025905,8.85628218,12.78312415,10.42647473,7.2119411558,7.508688368,6.648469487,8.817064493,11.37824759,6.536717836,9.55587899,6.709397913,8.9745205145,5.167730486,5.459774314,8.91017192567,8.821488149,8.67313689733,8.84918642867,7.348718546,5.716038325,6.989880165,10.70345182,6.861555705,8.362997044,8.5186787305,8.2374680655,7.901426815,10.94323478,7.9021186325,7.935994932,6.6605798635,BRCA
