	AUC	Accuracy	Baseline error rate	Baseline improvement	Best Num Features	Error rate	Kappa statistic	Mean absolute error	Number instances predicted as dependent variable class BRCACancer	Number instances predicted as dependent variable class BRCACancer correctly	Number instances predicted as dependent variable class BRCACancer incorrectly	Number instances predicted as dependent variable class Control	Number instances predicted as dependent variable class Control correctly	Number instances predicted as dependent variable class Control incorrectly	Number instances with dependent variable class BRCACancer	Number instances with dependent variable class BRCACancer predicted correctly	Number instances with dependent variable class BRCACancer predicted incorrectly	Number instances with dependent variable class Control	Number instances with dependent variable class Control predicted correctly	Number instances with dependent variable class Control predicted incorrectly	Proportion instances predicted as dependent variable class BRCACancer	Proportion instances predicted as dependent variable class BRCACancer correctly	Proportion instances predicted as dependent variable class BRCACancer incorrectly	Proportion instances predicted as dependent variable class Control	Proportion instances predicted as dependent variable class Control correctly	Proportion instances predicted as dependent variable class Control incorrectly	Proportion instances with dependent variable class BRCACancer	Proportion instances with dependent variable class BRCACancer predicted correctly	Proportion instances with dependent variable class BRCACancer predicted incorrectly	Proportion instances with dependent variable class Control	Proportion instances with dependent variable class Control predicted correctly	Proportion instances with dependent variable class Control predicted incorrectly	Relative absolute error	Root mean squared error	Root relative squared error	Total number correct	Total number incorrect	Youden Index
utahontario1_BIOCARTA_ACTINY_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.7723981900452489	0.75	0.3145161290322581	0.06451612903225812	NA	0.25	0.3213276836158191	0.35746941456356374	16.0	12.0	4.0	108.0	81.0	27.0	39.0	12.0	27.0	85.0	81.0	4.0	0.12903225806451613	0.75	0.25	0.8709677419354839	0.75	0.25	0.31451612903225806	0.3076923076923077	0.6923076923076923	0.6854838709677419	0.9529411764705882	0.047058823529411764	82.69325041665861	0.41777768091125744	89.97387459239751	93	31	0.2606334841628959
utahontario1_BIOCARTA_AGPCR_PATHWAY_weka_svm_weights_r_svm_rbf	0.6989966555183946	0.6111111111111112	0.36111111111111116	-0.02777777777777768	NA	0.38888888888888884	-0.0120481927710841	0.4170263323249399	3.0	1.0	2.0	33.0	21.0	12.0	13.0	1.0	12.0	23.0	21.0	2.0	0.08333333333333333	0.3333333333333333	0.6666666666666666	0.9166666666666666	0.6363636363636364	0.36363636363636365	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	0.9130434782608695	0.08695652173913043	89.98296886758958	0.4605693397701905	95.87638307022672	22	14	-0.010033444816053505
utahontario1_BIOCARTA_AGPCR_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6229260935143288	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	-0.012749003984063966	0.41915979306376083	3.0	1.0	2.0	121.0	83.0	38.0	39.0	1.0	38.0	85.0	83.0	2.0	0.024193548387096774	0.3333333333333333	0.6666666666666666	0.9758064516129032	0.6859504132231405	0.3140495867768595	0.31451612903225806	0.02564102564102564	0.9743589743589743	0.6854838709677419	0.9764705882352941	0.023529411764705882	96.96405991750373	0.46315328526086863	99.74610303313457	84	40	0.002111613876319751
utahontario1_BIOCARTA_AGR_PATHWAY_weka_svm_weights_r_svm_rbf	0.5050167224080268	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.44868438470530453	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.81391770928337	0.4868470632974573	101.34659758422552	23	13	0.0
utahontario1_BIOCARTA_AGR_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6217194570135747	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	0.10240112994350259	0.3991543416189589	17.0	8.0	9.0	107.0	76.0	31.0	39.0	8.0	31.0	85.0	76.0	9.0	0.13709677419354838	0.47058823529411764	0.5294117647058824	0.8629032258064516	0.7102803738317757	0.2897196261682243	0.31451612903225806	0.20512820512820512	0.7948717948717948	0.6854838709677419	0.8941176470588236	0.10588235294117647	92.3362071876609	0.45664600184357734	98.34467464460147	84	40	0.09924585218702875
utahontario1_BIOCARTA_AHSP_PATHWAY_weka_svm_weights_r_svm_rbf	0.47826086956521746	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.449582603873847	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	97.00772903776385	0.48326258675410544	100.60041972021892	23	13	0.0
utahontario1_BIOCARTA_AHSP_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.48295625942684767	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.0	0.43387399096209256	0.0	0.0	0.0	124.0	85.0	39.0	39.0	0.0	39.0	85.0	85.0	0.0	0.0	NaN	NaN	1.0	0.6854838709677419	0.31451612903225806	0.31451612903225806	0.0	1.0	0.6854838709677419	1.0	0.0	100.36788917370059	0.46735922427535165	100.65190687743507	85	39	0.0
utahontario1_BIOCARTA_AKAP13_PATHWAY_weka_svm_weights_r_svm_rbf	0.36789297658862874	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.45190866542172714	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	97.5096300152875	0.48395333115954847	100.74421147859546	23	13	0.0
utahontario1_BIOCARTA_AKAP13_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5055806938159879	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.018668831168830863	0.42681748865682523	2.0	1.0	1.0	122.0	84.0	38.0	39.0	1.0	38.0	85.0	84.0	1.0	0.016129032258064516	0.5	0.5	0.9838709677419355	0.6885245901639344	0.3114754098360656	0.31451612903225806	0.02564102564102564	0.9743589743589743	0.6854838709677419	0.9882352941176471	0.011764705882352941	98.735511441727	0.46704834180512217	100.58495428119204	85	39	0.01387631975867265
utahontario1_BIOCARTA_AKAP95_PATHWAY_weka_svm_weights_r_svm_rbf	0.4414715719063545	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	-0.05439330543933049	0.46305130171645725	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	99.91390863534916	0.4942481365068985	102.88727358865353	23	13	0.0
utahontario1_BIOCARTA_AKAP95_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6223227752639517	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.07071483474250559	0.4211855404178702	8.0	4.0	4.0	116.0	81.0	35.0	39.0	4.0	35.0	85.0	81.0	4.0	0.06451612903225806	0.5	0.5	0.9354838709677419	0.6982758620689655	0.3017241379310345	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9529411764705882	0.047058823529411764	97.43267520711886	0.4604658515142312	99.16732911115787	85	39	0.055505279034690824
utahontario1_BIOCARTA_AKAPCENTROSOME_PATHWAY_weka_svm_weights_r_svm_rbf	0.38461538461538464	0.5277777777777778	0.36111111111111116	-0.11111111111111105	NA	0.4722222222222222	-0.15909090909090898	0.4761761078311305	6.0	1.0	5.0	30.0	18.0	12.0	13.0	1.0	12.0	23.0	18.0	5.0	0.16666666666666666	0.16666666666666666	0.8333333333333334	0.8333333333333334	0.6	0.4	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	0.782608695652174	0.21739130434782608	102.74588572760041	0.5030348218272362	104.71639145418618	19	17	-0.14046822742474907
utahontario1_BIOCARTA_AKAPCENTROSOME_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6368024132730015	0.6612903225806451	0.3145161290322581	-0.024193548387096753	NA	0.33870967741935487	0.005477308294209526	0.4143559242518774	5.0	1.0	4.0	119.0	81.0	38.0	39.0	1.0	38.0	85.0	81.0	4.0	0.04032258064516129	0.2	0.8	0.9596774193548387	0.680672268907563	0.31932773109243695	0.31451612903225806	0.02564102564102564	0.9743589743589743	0.6854838709677419	0.9529411764705882	0.047058823529411764	95.85278295101179	0.46027239561780153	99.12566585972101	82	42	-0.02141779788838616
utahontario1_BIOCARTA_AKT_PATHWAY_weka_svm_weights_r_svm_rbf	0.4013377926421405	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.46523576104875264	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	100.38525569632391	0.49487056050431844	103.01684313759161	23	13	0.0
utahontario1_BIOCARTA_AKT_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6808446455505279	0.6935483870967742	0.3145161290322581	0.008064516129032362	NA	0.30645161290322576	0.1484780994803268	0.39387124542777185	11.0	6.0	5.0	113.0	80.0	33.0	39.0	6.0	33.0	85.0	80.0	5.0	0.08870967741935484	0.5454545454545454	0.45454545454545453	0.9112903225806451	0.7079646017699115	0.2920353982300885	0.31451612903225806	0.15384615384615385	0.8461538461538461	0.6854838709677419	0.9411764705882353	0.058823529411764705	91.11407075160662	0.4467242747753359	96.20790126544249	86	38	0.09502262443438925
utahontario1_BIOCARTA_ALK_PATHWAY_weka_svm_weights_r_svm_rbf	0.5317725752508361	0.6111111111111112	0.36111111111111116	-0.02777777777777768	NA	0.38888888888888884	-0.0120481927710841	0.44824453631787303	3.0	1.0	2.0	33.0	21.0	12.0	13.0	1.0	12.0	23.0	21.0	2.0	0.08333333333333333	0.3333333333333333	0.6666666666666666	0.9166666666666666	0.6363636363636364	0.36363636363636365	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	0.9130434782608695	0.08695652173913043	96.71901036007102	0.4939623752974727	102.82778688640107	22	14	-0.010033444816053505
utahontario1_BIOCARTA_ALK_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5975867269984918	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.07071483474250559	0.4156562975007631	8.0	4.0	4.0	116.0	81.0	35.0	39.0	4.0	35.0	85.0	81.0	4.0	0.06451612903225806	0.5	0.5	0.9354838709677419	0.6982758620689655	0.3017241379310345	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9529411764705882	0.047058823529411764	96.15359775173123	0.46191535976584935	99.47949962578966	85	39	0.055505279034690824
utahontario1_BIOCARTA_AMI_PATHWAY_weka_svm_weights_r_svm_rbf	0.3511705685618729	0.6111111111111112	0.36111111111111116	-0.02777777777777768	NA	0.38888888888888884	-0.05439330543933049	0.4772070982527683	1.0	0.0	1.0	35.0	22.0	13.0	13.0	0.0	13.0	23.0	22.0	1.0	0.027777777777777776	0.0	1.0	0.9722222222222222	0.6285714285714286	0.37142857142857144	0.3611111111111111	0.0	1.0	0.6388888888888888	0.9565217391304348	0.043478260869565216	102.96834549050268	0.5054895592164524	105.22739234361302	22	14	-0.04347826086956519
utahontario1_BIOCARTA_AMI_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5586726998491706	0.6774193548387096	0.3145161290322581	-0.008064516129032251	NA	0.32258064516129037	-0.03165584415584442	0.4288019146614841	1.0	0.0	1.0	123.0	84.0	39.0	39.0	0.0	39.0	85.0	84.0	1.0	0.008064516129032258	0.0	1.0	0.9919354838709677	0.6829268292682927	0.3170731707317073	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9882352941176471	0.011764705882352941	99.19456788082664	0.4673078234126023	100.64083703098261	84	40	-0.0117647058823529
utahontario1_BIOCARTA_ARAP_PATHWAY_weka_svm_weights_r_svm_rbf	0.5284280936454849	0.5833333333333334	0.36111111111111116	-0.05555555555555547	NA	0.41666666666666663	-0.1566265060240962	0.4562053695906716	2.0	0.0	2.0	34.0	21.0	13.0	13.0	0.0	13.0	23.0	21.0	2.0	0.05555555555555555	0.0	1.0	0.9444444444444444	0.6176470588235294	0.38235294117647056	0.3611111111111111	0.0	1.0	0.6388888888888888	0.9130434782608695	0.08695652173913043	98.43674220820802	0.5023386927224902	104.57147876688862	21	15	-0.08695652173913049
utahontario1_BIOCARTA_ARAP_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6570135746606335	0.7096774193548387	0.3145161290322581	0.024193548387096864	NA	0.29032258064516125	0.19218241042345283	0.39975265086244016	15.0	9.0	6.0	109.0	79.0	30.0	39.0	9.0	30.0	85.0	79.0	6.0	0.12096774193548387	0.6	0.4	0.8790322580645161	0.7247706422018348	0.27522935779816515	0.31451612903225806	0.23076923076923078	0.7692307692307693	0.6854838709677419	0.9294117647058824	0.07058823529411765	92.47461381514316	0.44699126719769844	96.26540156721632	88	36	0.16018099547511322
utahontario1_BIOCARTA_ARENRF2_PATHWAY_weka_svm_weights_r_svm_rbf	0.5351170568561873	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.040983606557376935	0.44552591200867364	2.0	1.0	1.0	34.0	22.0	12.0	13.0	1.0	12.0	23.0	22.0	1.0	0.05555555555555555	0.5	0.5	0.9444444444444444	0.6470588235294118	0.35294117647058826	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	0.9565217391304348	0.043478260869565216	96.13240498862233	0.4811765996908415	100.16618131681841	23	13	0.03344481605351168
utahontario1_BIOCARTA_ARENRF2_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.6141779788838614	0.717741935483871	0.3145161290322581	0.032258064516129115	NA	0.282258064516129	0.16602613374327446	0.40607447895345344	8.0	6.0	2.0	116.0	83.0	33.0	39.0	6.0	33.0	85.0	83.0	2.0	0.06451612903225806	0.75	0.25	0.9354838709677419	0.7155172413793104	0.28448275862068967	0.31451612903225806	0.15384615384615385	0.8461538461538461	0.6854838709677419	0.9764705882352941	0.023529411764705882	93.93703966788215	0.4520430668879159	97.35337254451247	89	35	0.13031674208144794
utahontario1_BIOCARTA_ARF_PATHWAY_weka_svm_weights_r_svm_rbf	0.5284280936454849	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.0	0.4470658730999159	0.0	0.0	0.0	36.0	23.0	13.0	13.0	0.0	13.0	23.0	23.0	0.0	0.0	NaN	NaN	1.0	0.6388888888888888	0.3611111111111111	0.3611111111111111	0.0	1.0	0.6388888888888888	1.0	0.0	96.46468681398817	0.482770938492951	100.4980736607835	23	13	0.0
utahontario1_BIOCARTA_ARF_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.42473604826546	0.6693548387096774	0.3145161290322581	-0.016129032258064502	NA	0.3306451612903226	-0.047044632086851675	0.4375583780239515	2.0	0.0	2.0	122.0	83.0	39.0	39.0	0.0	39.0	85.0	83.0	2.0	0.016129032258064516	0.0	1.0	0.9838709677419355	0.680327868852459	0.319672131147541	0.31451612903225806	0.0	1.0	0.6854838709677419	0.9764705882352941	0.023529411764705882	101.220196894377	0.47299158870838426	101.8649100470898	83	41	-0.02352941176470591
utahontario1_BIOCARTA_ASBCELL_PATHWAY_weka_svm_weights_r_svm_rbf	0.5418060200668896	0.6111111111111112	0.36111111111111116	-0.02777777777777768	NA	0.38888888888888884	-0.05439330543933049	0.4450945277940483	1.0	0.0	1.0	35.0	22.0	13.0	13.0	0.0	13.0	23.0	22.0	1.0	0.027777777777777776	0.0	1.0	0.9722222222222222	0.6285714285714286	0.37142857142857144	0.3611111111111111	0.0	1.0	0.6388888888888888	0.9565217391304348	0.043478260869565216	96.03932397827415	0.4863145386520951	101.2357423177448	22	14	-0.04347826086956519
utahontario1_BIOCARTA_ASBCELL_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.5897435897435899	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.07071483474250559	0.4212133713404295	8.0	4.0	4.0	116.0	81.0	35.0	39.0	4.0	35.0	85.0	81.0	4.0	0.06451612903225806	0.5	0.5	0.9354838709677419	0.6982758620689655	0.3017241379310345	0.31451612903225806	0.10256410256410256	0.8974358974358975	0.6854838709677419	0.9529411764705882	0.047058823529411764	97.43911332281425	0.4662416623537483	100.41122533608453	85	39	0.055505279034690824
utahontario1_BIOCARTA_AT1R_PATHWAY_weka_svm_weights_r_svm_rbf	0.6755852842809364	0.6666666666666666	0.36111111111111116	0.02777777777777779	NA	0.33333333333333337	0.19702602230483254	0.40907046332980584	7.0	4.0	3.0	29.0	20.0	9.0	13.0	4.0	9.0	23.0	20.0	3.0	0.19444444444444445	0.5714285714285714	0.42857142857142855	0.8055555555555556	0.6896551724137931	0.3103448275862069	0.3611111111111111	0.3076923076923077	0.6923076923076923	0.6388888888888888	0.8695652173913043	0.13043478260869565	88.26630817589502	0.4536708660541893	94.44033283526049	24	12	0.17725752508361214
utahontario1_BIOCARTA_AT1R_PATHWAY_weka_svm_weights_r_svm_rbf_Training_Data	0.7357466063348417	0.6854838709677419	0.3145161290322581	0.0	NA	0.3145161290322581	0.218213660245184	0.3656845070449281	16.0	8.0	8.0	108.0	77.0	31.0	39.0	8.0	31.0	85.0	77.0	8.0	0.12903225806451613	0.5	0.5	0.8709677419354839	0.7129629629629629	0.28703703703703703	0.31451612903225806	0.20512820512820512	0.7948717948717948	0.6854838709677419	0.9058823529411765	0.09411764705882353	84.59364433032218	0.43135397319539975	92.8977062742116	85	39	0.11101055806938165
utahontario1_BIOCARTA_ATM_PATHWAY_weka_svm_weights_r_svm_rbf	0.5317725752508361	0.6388888888888888	0.36111111111111116	0.0	NA	0.36111111111111116	0.040983606557376935	0.45293214817847743	2.0	1.0	1.0	34.0	22.0	12.0	13.0	1.0	12.0	23.0	22.0	1.0	0.05555555555555555	0.5	0.5	0.9444444444444444	0.6470588235294118	0.35294117647058826	0.3611111111111111	0.07692307692307693	0.9230769230769231	0.6388888888888888	0.9565217391304348	0.043478260869565216	97.73046982778504	0.48356621651476644	100.66362610573123	23	13	0.03344481605351168
